Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-M-U-0146,Nirma University,Ahmedabad,Gujarat,,,,,,,,46.75,44.0,74.6,9.04,72.37,63.32,8.59,47.22,40.0,76.19,9.25,72.15,64.67,6.9,,,,,,,,45.81,31.0,71.75,6.29,69.7,62.01,22.63,65.72,29.0,69.07,64.83,61.15,49.25,90.0
IR-M-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,,,,,,,,45.89,55.0,60.46,42.81,42.5,46.78,17.31,45.13,46.0,55.79,41.29,46.82,47.57,18.8,50.11,29.0,53.73,50.09,62.99,48.21,15.4,51.83,17.0,59.74,33.97,64.27,79.33,29.36,73.0,17.0,80.4,77.31,57.24,86.04,42.0
IR-M-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,,,,,,,,43.24,71.0,70.14,10.34,65.77,54.97,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-M-N-34,Faculty of Management Studies,Delhi,Delhi,,,,,,,,,,,,,,,48.29,35.0,49.87,8.44,96.16,65.83,49.9,,,,,,,,,,,,,,,,,,,,,
IR-M-N-4,Bharathidasan Institute of Management,Tiruchirappalli,Tamil Nadu,,,,,,,,,,,,,,,43.91,53.0,56.71,1.17,86.37,38.62,54.21,,,,,,,,,,,,,,,,,,,,,
IR-M-C-35429,Institute of Management and Entrepreneurship Development,Pune,Maharashtra,,,,,,,,,,,,,,,43.65,55.0,67.14,0.27,71.04,75.4,16.76,42.48,50.0,66.16,0.35,69.38,69.64,16.86,,,,,,,,54.04,46.0,61.97,31.11,69.21,71.8,50.0
IR-M-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,,,,,,,,,,,,,,,41.84,65.0,61.98,8.33,74.66,52.35,5.83,,,,,,,,,,,,,,,,,,,,,
IR-M-U-0473,SRM Institute of Science and Technology,Chennai,Tamil Nadu,,,,,,,,,,,,,,,40.05,73.0,62.8,6.56,65.05,52.3,9.97,,,,,,,,,,,,,,,,,,,,,
IR-M-C-32873,Lal Bahadur Shastri Institute of Management,Delhi,Delhi,,,,,,,,,,,,,,,39.91,74.0,68.64,3.58,55.31,66.56,5.28,42.99,47.0,67.63,2.39,79.92,55.94,4.09,,,,,,,,68.18,24.0,79.51,75.34,86.44,40.41,27.0
IR-1-M-M-S-132,Xavier Labour Relations Institute,Jamshedpur,Jharkhand,,,,,,,,,,,,,,,,,,,,,,62.66,10.0,86.06,27.07,95.61,54.57,41.44,,,,,,,,75.3,13.0,84.21,65.44,89.01,52.37,92.0
IR-1-M-M-I-1064,International Management Institute New Delhi,New Delhi,Delhi,,,,,,,,,,,,,,,,,,,,,,50.94,25.0,71.92,19.63,80.91,62.81,10.13,,,,,,,,81.77,7.0,88.45,83.15,83.77,59.33,88.0
IR-1-M-M-I-1238,Institute for Financial Management and Research,Satyavedu,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,47.08,34.0,70.87,6.68,85.51,67.19,0.0,43.6,38.0,58.43,3.72,83.21,82.79,0.26,,,,,,,
IR-2-M-EM-U-0020,Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,43.05,46.0,69.87,6.88,65.27,69.14,0.71,,,,,,,,,,,,,,
IR17-MGMT-2-10563,Tezpur University,Tezpur,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.29,39.0,56.73,12.35,75.47,68.95,5.85,,,,,,,
IR17-MGMT-1-15764,Bharati Vidyapeeth?s Institute of Management and Entrepreneurship Development,Pune,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.85,40.0,65.65,2.24,62.89,70.21,28.76,,,,,,,
IR17-MGMT-2-1-2811092269,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.08,42.0,58.21,7.06,64.4,71.17,25.0,57.77,41.0,61.22,62.08,49.65,74.48,22.0
IR17-MGMT-2-18477,Shanmugha Arts Science Technology & Research Academy (SASTRA),Thanjavur,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,44.0,59.91,9.0,71.11,64.32,5.79,,,,,,,
IR17-MGMT-1-15717,MIT School of Telecom Management,Pune,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.94,47.0,60.37,0.12,73.76,79.87,0.48,,,,,,,
IR17-MGMT-1-1-2811763720,Xavier Institute of Management & Entrepreneurship,Bengaluru,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.07,50.0,49.39,0.15,78.36,84.82,10.56,64.3,30.0,66.37,69.36,80.43,54.83,33.0
