Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17
IR17-COLL-1-19427,Justice Baseer Ahmed Sayeed College for Women,Chennai,Tamil Nadu,,,,,,,,,,,,,,,49.81,91.0,61.24,7.08,74.11,53.51,3.75,,,,,,,,43.77,47.0,54.06,1.55,67.63,57.61,16.86
IR17-COLL-2-20199,Mercy College,Palakkad,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.68,48.0,54.48,0.02,79.18,50.2,0.14
IR17-COLL-1-21963,Little Flower College,Thrissur,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.59,49.0,49.02,0.0,73.17,70.22,0.64
IR17-COLL-1-27982,K.S. Rangaswamy College of Arts and Science,Tiruchengode,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.32,50.0,47.05,15.52,65.94,57.02,10.73
IR17-COLL-2-19444,MES Keveeyam College,Valanchary,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,51.0,49.09,2.99,75.85,60.0,0.1
IR17-COLL-1-30551,"Government College of Arts, Science and Commerce Quepem",Quepem,Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.18,53.0,67.92,0.0,49.17,70.07,0.14
IR17-COLL-2-21977,St. Mary's College,Thrissur,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.72,55.0,50.52,1.31,73.04,60.15,0.25
IR17-COLL-1-59902,Saiva Bhanu Kshatriya College,Virudhnagar,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.57,56.0,63.0,8.2,55.01,55.04,0.25
IR17-COLL-1-19419,Gobi Arts and Science College-Karattatipalayam Post,Karattatipalayam,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.39,57.0,53.57,2.75,65.9,60.0,2.99
IR17-COLL-2-18987,Vivekanand College,Kolhapur,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.26,58.0,51.27,6.42,70.77,51.24,2.15
IR17-COLL-2-30622,Shri Shankarlal Sundarbai Shasun Jain College for Women,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.07,59.0,49.74,0.0,66.11,70.08,1.11
IR17-COLL-1-19435,Meenakshi College for Women,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.07,59.0,53.9,2.53,51.29,70.02,20.67
IR17-COLL-1-19878,"Vitthalbhai Patel and Rajrathan, P.T. Patel Science College",Anand,Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.99,61.0,47.72,20.51,58.81,55.65,5.24
IR17-COLL-2-19438,Srimathi D.N. Bhat Vaishnav College for Women,Kancheepuram,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.91,62.0,44.56,2.83,75.77,60.03,0.33
IR17-COLL-2-19551,J.B. College,District Jorhat,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.81,64.0,53.16,4.16,59.56,59.13,12.71
IR17-COLL-2-24847,Nirmala College for Women,Coimbatore,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.73,65.0,55.7,4.29,56.65,61.4,7.95
IR17-COLL-2-1-2811558558,SNR Sons College,Coimbatore,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.29,69.0,56.5,3.24,51.26,57.26,12.75
IR17-COLL-2-18891,St. Teresa's College,Ernakula,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,70.0,51.59,3.03,56.34,53.43,19.11
IR17-COLL-2-18873,Sri D. Manjunatheswara College,Dakshin Kannad,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.96,71.0,43.61,1.57,70.75,58.21,1.5
IR17-COLL-1-24617,Nanded Education Society`s Science College,Nanded,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.47,72.0,50.96,1.73,62.06,55.25,0.31
IR17-COLL-2-19929,Mannam Memroial N.S.S. College,Kollam,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.99,73.0,56.92,0.3,51.28,60.0,0.33
IR17-COLL-2-29281,Mehr Chand Mahajan D.A.V. College for Women,"Sector-36, Chandigarh",Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.84,74.0,49.64,2.96,52.12,64.27,6.94
IR17-COLL-2-14209,Hindusthan College of Arts and Science,Coimbatore,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.65,75.0,43.38,2.72,63.03,57.34,7.43
IR17-COLL-1-30707,K.S.R. College of Arts and Science for Women,Namakkal ,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,76.0,35.24,0.04,73.52,60.0,6.42
IR17-COLL-1-19882,Bahauddin Govt. Science College,Junagadh,Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.42,77.0,42.87,0.71,68.33,54.53,1.55
IR17-COLL-2-20162,S.D.M.S.M. Kalasala,District Krishna,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.28,79.0,47.83,0.0,55.16,67.5,0.08
IR17-COLL-2-30258,Dr.V.S.Krishna Govt. Degree College,Visakhapatnam,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.19,80.0,50.46,1.95,60.33,48.73,2.67
IR17-COLL-2-19306,Symbiosis College of Arts and Commerce,Pune,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.05,81.0,30.02,0.12,72.45,60.48,18.4
IR17-COLL-1-15615,S R M College of Arts and Science,Potheri,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.03,82.0,48.06,10.65,43.93,49.33,31.04
IR17-COLL-2-30643,Sai College of Computer Education,Osmanabad,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.93,83.0,35.97,0.0,81.78,44.67,0.04
IR17-COLL-1-29947,Assumption College,Kottayam,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.92,84.0,52.41,0.77,53.64,54.15,5.21
IR17-COLL-2-19204,Gayatri Vidya Parishad College for Degree and P.G Courses (Autonomous),District Visakapatnam,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.56,85.0,44.03,0.0,62.16,58.14,0.89
IR17-COLL-1-18746,Muthayammal College of Arts & Science,Namakkal,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.46,86.0,41.15,9.4,50.14,65.2,9.16
IR17-COLL-1-21121,"St. Josephs College for Women, (Autonomous)",Visakhapatnam,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.15,87.0,50.66,3.33,50.52,56.36,2.05
IR17-COLL-1-19251,Jankidevi Bajaj College of Science,Wardha,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.07,88.0,60.11,1.3,41.29,55.16,1.9
IR17-COLL-1-20095,P.C. Jabin Science College,Dharwad,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.87,89.0,48.84,9.31,49.91,50.59,2.92
IR17-COLL-2-19869,Govt. College,District Anantapur,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.82,90.0,43.51,0.19,63.2,49.42,5.16
IR17-COLL-2-18887,Nirmala College,Ernakulam,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.53,91.0,53.11,8.5,49.24,43.68,0.42
IR17-COLL-1-20151,K.B.N. College,District Krishna,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.36,92.0,48.19,0.39,52.11,57.38,1.76
IR17-COLL-2-13947,V.S.M. College,Ramachandrapuram,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.15,93.0,32.9,0.0,67.59,62.44,0.08
IR17-COLL-1-20049,J.G. College of Commerce,Hubli,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.03,94.0,34.2,0.0,75.61,44.61,1.79
IR17-COLL-2-15860,Sacred Heart College (Autonomous),Tirupattur,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.43,95.0,52.13,14.37,32.09,58.87,0.72
IR17-COLL-2-18715,Raja Narendralal Khan Women's College,District Midnapore,West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.73,98.0,26.41,9.57,60.24,62.33,4.93
IR17-COLL-2-1-2814445210,Bharti Vidyapeeth`s Matoshri Bayabai Shripatrao Kadam Kanya Mahavidyalaya,Sangli,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.69,99.0,50.53,0.31,29.37,62.41,27.73
IR17-COLL-2-15929,Thanthai Hans Roever College,Perambalur,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.65,100.0,38.95,9.55,43.12,68.25,0.31
IR-1-C-C-C-8106,St. Joseph's College,Thrissur,Kerala,,,,,,,,,,,,,,,,,,,,,,45.88,97,61.33,0.3,67.0,43.55,2.02,44.35,42.0,56.26,0.02,68.41,62.5,9.88
IR-1-C-C-C-41035,Government Arts College,Coimbatore,Kerala,,,,,,,,,,,,,,,,,,,,,,53.16,33,75.11,32.02,48.07,38.14,24.9,,,,,,,
IR-1-C-C-C-41035,Government Arts College,Tiruppur,Kerala,,,,,,,,,,,,,,,,,,,,,,47.96,71,65.09,14.23,58.11,49.56,2.99,,,,,,,
IR-1-C-C-C-41173,St. Xavier's College,Palayamkottai,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-2-C-OC-C-5855,St. Xavier's College,Ahmedabad,Gujarat,,,,,,,,,,,,,,,,,,,,,,49.83,54,66.82,24.77,51.67,41.41,23.16,,,,,,,
