Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-O-U-0035,Sri Sathya Sai Institute of Higher Learning,Anantapur,Andhra Pradesh,,,,,,,,42.08,75.0,61.64,2.82,61.47,72.96,31.47,,,,,,,,38.53,92.0,58.9,4.18,61.69,71.09,1.62,36.75,69.0,53.99,3.64,61.44,70.84,0.94,,,,,,,
IR-O-U-0051,Dibrugarh University,Dibrugarh,Assam,,,,,,,,41.05,84.0,61.8,8.95,63.0,49.99,22.2,39.3,86.0,62.53,8.88,63.0,47.63,5.07,39.13,84.0,62.45,9.6,61.99,48.38,2.79,36.28,74.0,43.38,8.35,69.95,66.98,0.68,53.89,74,57.25,55.9,86.86,66.77,0.0
IR-O-U-0250,Yenepoya University,Mangaluru,Karnataka,,,,,,,,40.99,86.0,70.1,8.31,45.02,66.0,18.74,38.68,95.0,72.04,5.75,44.59,63.01,1.22,,,,,,,,,,,,,,,,,,,,,
IR-O-U-0576,Kalyani University,Kalyani,West Bengal,,,,,,,,40.91,89.0,39.83,19.63,82.34,46.54,19.47,38.85,91.0,38.04,20.64,81.63,44.54,4.7,38.87,86.0,40.42,21.59,79.78,39.81,3.17,36.84,66.0,34.93,20.54,79.69,42.61,0.02,61.3,45,50.02,69.6,0.0,59.83,95.0
IR-O-C-23033,Krishna Institute of Medical Sciences,Karad,Maharashtra,,,,,,,,40.87,90.0,68.65,3.95,56.49,60.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-O-U-0453,The Gandhigram Rural Institute ,Gandhigram,Tamil Nadu,,,,,,,,40.65,91.0,55.52,15.4,61.06,50.37,21.21,40.42,75.0,55.7,18.2,62.68,50.9,6.15,39.5,79.0,52.93,17.73,59.9,52.67,10.5,34.56,91.0,39.88,15.06,58.14,57.62,6.91,,,,,,,
IR-O-U-0168,Maharishi Markandeshwar,Ambala,Haryana,,,,,,,,40.49,93.0,53.27,11.81,63.44,56.28,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR-O-U-0164,Kurukshetra University,Kurukshetra,Haryana,,,,,,,,39.79,99.0,49.89,9.95,68.15,48.88,33.21,38.6,98.0,50.28,10.62,73.97,47.24,8.25,39.45,80.0,52.32,14.93,76.33,36.14,3.93,38.26,59.0,43.43,13.44,79.64,50.37,2.33,,,,,,,
IR-O-U-0554,G. B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,,,,,,,,,,,,,,,46.09,38.0,71.58,15.49,75.65,43.02,5.44,46.56,34.0,72.14,15.04,75.45,48.16,5.03,,,,,,,,,,,,,,
IR-O-U-0485,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,,,,,,,,,,,,,,,45.41,44.0,74.72,11.58,69.31,45.1,11.52,49.22,25.0,78.6,12.99,75.58,54.06,12.07,48.84,17.0,77.67,12.56,75.33,63.48,3.53,63.66,40,79.89,39.55,99.3,65.97,90.0
